Start IP,End IP,CIDR,Number of IPs
5.15.192.0,5.15.207.255,5.15.192.0/20,54272
5.15.208.0,5.15.211.255,5.15.208.0/22,54272
89.47.204.0,89.47.207.255,89.47.204.0/22,5120
89.47.208.0,89.47.223.255,89.47.208.0/20,5120
81.18.71.64,81.18.71.127,81.18.71.64/26,192
81.18.71.128,81.18.71.255,81.18.71.128/25,192
86.120.0.0,86.123.255.255,86.120.0.0/14,262144
79.118.128.0,79.118.135.255,79.118.128.0/21,2048
79.119.80.0,79.119.80.255,79.119.80.0/24,256
79.118.156.0,79.118.156.63,79.118.156.0/26,64
79.118.156.64,79.118.156.127,79.118.156.64/26,192
79.118.156.128,79.118.156.255,79.118.156.128/25,192
212.93.148.0,212.93.149.255,212.93.148.0/23,512
193.231.187.0,193.231.187.255,193.231.187.0/24,256
193.231.189.0,193.231.189.255,193.231.189.0/24,256
188.25.0.0,188.25.255.255,188.25.0.0/16,65536
193.231.188.0,193.231.188.255,193.231.188.0/24,256
84.232.190.0,84.232.191.255,84.232.190.0/23,512
212.93.128.0,212.93.128.255,212.93.128.0/24,256
62.231.73.0,62.231.73.255,62.231.73.0/24,256
62.231.103.0,62.231.103.255,62.231.103.0/24,256
93.113.132.0,93.113.133.255,93.113.132.0/23,512
84.232.137.0,84.232.137.255,84.232.137.0/24,256
81.18.84.0,81.18.84.255,81.18.84.0/24,256
79.119.240.0,79.119.241.255,79.119.240.0/23,512
84.232.184.0,84.232.187.255,84.232.184.0/22,1024
84.232.172.0,84.232.172.255,84.232.172.0/24,256
84.232.150.0,84.232.150.255,84.232.150.0/24,256
82.137.5.0,82.137.5.255,82.137.5.0/24,256
81.18.88.0,81.18.88.255,81.18.88.0/24,256
93.113.90.0,93.113.91.255,93.113.90.0/23,512
213.157.191.0,213.157.191.255,213.157.191.0/24,256
79.119.88.0,79.119.88.255,79.119.88.0/24,256
84.232.192.0,84.232.207.255,84.232.192.0/20,5632
84.232.208.0,84.232.211.255,84.232.208.0/22,5632
84.232.212.0,84.232.213.255,84.232.212.0/23,5632
84.232.178.0,84.232.179.255,84.232.178.0/23,512
62.231.94.0,62.231.94.255,62.231.94.0/24,256
62.231.72.0,62.231.72.255,62.231.72.0/24,256
84.232.135.0,84.232.135.255,84.232.135.0/24,256
